,,,,,
text,Thibaut_HS,Naomie_HS,fortune_HS,yolande_HS,GPT_HS
Via: GP,,0 (Neutral),0 (Neutral),0 (Neutral),0
"The main stream media wasted no time in trashing Congressman Pompeo and his supposed  anti-Islamic rhetoric :Pompeo, of Wichita, met with the president-elect s transition team in New York s Trump Tower earlier this week. He is a member of the House Select Committee on Intelligence and has been an ardent supporter of the Patriot Act and the National Security Agency s collection of bulk data.Pompeo was a vocal critic of President Obama s nuclear deal with Iran and has come under fire for what his critics have called anti-Islamic rhetoric. Via: FOX News ",0 (Neutral),2 (Disrespect),3 (Hostile),1 (Mild),1
Obama Lied -Wikileaks: Panic Over Clinton Emails To Pres Obama,1 (Mild),1 (Mild),2 (Disrespect),0 (Neutral),1
"On Monday, as a crowd of supporters gathered inside the campaign headquarters of Zena Stephens, an African-American woman who is running for Sheriff of Jefferson County, Texas, a man opened fire on the building.According to local CBS affiliate KFDM, witnesses say a white man fired shouted  fucking niggers,  before opening fire from the passenger side of a white jeep.No one was injured during the attack, but the glass doors leading into Stephens campaign headquarters were shattered. Stephens said the weapon appeared to be either a BB gun or an air rifle.Someone from Stephens  campaign headquarters followed the vehicle, helping police to locate and apprehend the suspects.Five people have been detained in connection with the incident.During an interview with KFDM, Stephens referred to the attack  an example of ignorance. Whether we re getting ready for an election or not,  the candidate said,  it s just an example of ignorance. Anytime you try to hurt somebody   it s just ignorance. Here s more on the story from KFDM.This is a clear case of voter intimidation. Whomever fired that shot should be punished to the fullest extent of the law.The words the shooter, reported as either  fucking niggers,  or  fuck them niggers,  leave no room for doubt as to whether or not this was a racially-motivated hate crime.Ahead of Super Tuesday, white supremacists began placing robocalls supporting Donald Trump, claiming that whites in the U.S. and Europe are under attack from people of color.After the candidate refused to call the Ku Klux Klan a hate group earlier this week, Trump s son stumped for him on Fox and Friends, where he offered to pay to ship Black people out of the country.Trump s almost singular message, that non-whites are responsible for all of the problems facing his narrow-minded, bigoted supporters, has done nothing to make America great again.As everyone with a conscience and a soul has been saying for months, Trump s message is making America hate again.The right-wing is  taking America back,  alright. They re taking the country back to the days of Jim Crow, and racially motivated voter suppression and voter intimidation.Featured image via video screen capture KFDM",3 (Hostile),2 (Disrespect),3 (Hostile),1 (Mild),4
"BEIJING (Reuters) - China s Foreign Ministry said on Tuesday it hoped all parties could contribute to resolving the issue on the Korean peninsula peacefully, after the United States put North Korea back on a list of state sponsors of terrorism. Ministry spokesman Lu Kang made the comment at a daily news briefing. ",0 (Neutral),0 (Neutral),1 (Mild),0 (Neutral),0
"VIDEO : Epic Loser Weiner Says He Downloaded ALL OF HUMA’S EMAILS By “ACCIDENT” VIDEO : Epic Loser Weiner Says He Downloaded ALL OF HUMA’S EMAILS By “ACCIDENT” Breaking News By TruthFeedNews November 1, 2016 
HOLY SMOKES! So ALL of Huma’s emails from her smartphone are now in possession of the DOJ and FBI. 
Anthony Weiner says it was “by accident.” Perhaps so, either way he is an epic disgraced loser. 
You have to believe that with DOJ and the FBI having all of Huma’s emails, MANY will contain threads with Hillary and there will be enough damning information to convict her without any reasonable doubt. 
The question is, are there people in the DOJ and FBI with enough pull to have the courage to tell the truth, or will their efforts be stonewalled by the likes of Hillary shill Loretta Lynch and Peter Kadzik. 
Watch the video: 
Support the Trump Movement and help us fight Liberal Media Bias. Please LIKE and SHARE this story on Facebook or Twitter. ",0 (Neutral),2 (Disrespect),2 (Disrespect),0 (Neutral),3
"This is Obama s legacy of hate and division, and the acceptable use of strong-arm tactics to silence the opposition ",2 (Disrespect),3 (Hostile),3 (Hostile),1 (Mild),3
"MADRID (Reuters) - The Spanish Constitutional Court has suspended a referendum law that was approved on Wednesday by the Catalan parliament, blocking the way for an Oct. 1 ballot on independence from Spain, a court source said on Thursday. The law will be suspended while judges consider arguments that the vote breaches the country s constitution. Prime Minister Mariano Rajoy said earlier on Thursday he had appealed to the court to declare the referendum illegal. The constitution states Spain is indivisible. ",0 (Neutral),0 (Neutral),1 (Mild),0 (Neutral),0
Support Us UNAIRED Documentary Illuminati Child Abduction Rings Exposed PT 1,2 (Disrespect),1 (Mild),1 (Mild),1 (Mild),1
Obviously not the smartest cowards in the desert https://youtu.be/QsZN_0barc8h/t Weasel Zippers,2 (Disrespect),2 (Disrespect),2 (Disrespect),0 (Neutral),2
"WASHINGTON (Reuters) - U.S. Director of National Intelligence Dan Coats declined to say whether President Donald Trump asked him to help deny any collusion between his campaign team and Russia, as reported by the Washington Post, saying his talks with Trump were private. “On this topic, as well as other topics, I don’t feel it’s appropriate to characterize discussions and conversations with the president,” Coats said about the alleged request. He was speaking at a hearing before the Senate Armed Services Committee. ",0 (Neutral),0 (Neutral),1 (Mild),0 (Neutral),0
Trump wins big in New Hampshire in what is an anti-establishment revolt of epic measures America is 100% FED Up! with the status quo in Washington.The latest results (CNN) from the New Hampshire primary:,1 (Mild),1 (Mild),0 (Neutral),0 (Neutral),1
Stuart Varney hammers a cuckoo super delegate for Bernie Sanders after she spouts off about the freebies she ll get if Sanders is elected president.,2 (Disrespect),2 (Disrespect),1 (Mild),0 (Neutral),2
"10 
Well folks, it looks like the chickens have finally come home to roost. Karma is a b*tch, ain’t it Hillary? 
Hillary Clinton thought if there was one person in the world that she could trust, it was her “friend” Huma Abedin. 
Thanks to a new drop of emails from Wikileaks, it looks like even Huma has turned on Hillary. Her and John Podest apparently sent a ton of emails right before her campaign started about Hillary Clinton’s brain damage. 
The most damning of all the emails from Huma read: “She (Hillary Clinton) is still not perfect in the head.” Email from Huma Abedin 
The message was sent as a warning to Hillary Clinton’s campaign staffers to stick to the notes since Hillary still couldn’t think clearly. 
Now, I am no doctor, but I’ say if even your closest friends are talking behind your back about you having head problems, that is probably a sign you are sick. Too sick, in fact, to run for president. 
However, I can guarantee you that the second this email got released, Hillary gave the kill order to her media goons to bury this story so deep that it will never see the light of day. 
If you want the world to see how Broken Hillary Clinton really is, then do us all a favor and share this out to everyone you know on Facebook. This is our ONLY way to get the truth out there! ",4 (Hateful),4 (Hateful),4 (Hateful),1 (Mild),3
"Thanks to George Soros, at least 26 couches in the basements of Oregon parents will be vacant for a while. Anarchists and rioters paid by Soros organizations and Democrat sore losers will spend some time in jail and will be facing charges for their violent and destructive behavior. Of course the sentences these radicals get will depend on the judges who hear their cases. This action is following burning projectiles being thrown at officers.  Portland Police (@PortlandPolice) November 12, 2016Can You IDME? Riot Vandalism & Assault Suspect https://t.co/QJ4kiAHyzd #CanYouIDME pic.twitter.com/zBQBkuxzxW  Portland Police (@PortlandPolice) November 12, 2016Police are looking for this guy who caused over $200,000 in damages: Can You IDME? Riot Vandalism Suspect https://t.co/AfynIElcbz #CanYouIDME pic.twitter.com/c92umDftsm  Portland Police (@PortlandPolice) November 12, 2016Can You IDME? Vandalism Riot Suspect https://t.co/IbSCEsWL9f #CanYouIDME pic.twitter.com/ZnGYZkFh1G  Portland Police (@PortlandPolice) November 13, 2016These thugs are likely not going to be missed by their parents:25 People Arrested in Thursday Night Riot in Portland (Photo) https://t.co/oas2XpzoHw pic.twitter.com/ikipWaoqB1  Portland Police (@PortlandPolice) November 11, 2016",3 (Hostile),2 (Disrespect),1 (Mild),0 (Neutral),3
"0 comments 
The story of what happened to an elderly woman who was reading her Bible while aboard an airline flight is being circulated online. It is unknown when or where the interaction between the woman and the Muslim man who was seated next to her transpired, but what happened when a flight attendant intervened subsequently went viral… 
This story may be apocryphal (widely circulated as being true while lacking authenticity), however, the fact that it has gone viral speaks to the fact that our culture is totally fed up with the progressive mentality that radical Islamic influence should be welcomed. 
SHARE this story if you think the flight attendant’s response in this situation was spot on!",,3 (Hostile),1 (Mild),1 (Mild),3
"Next Swipe left/right Forget online shopping – these 7 deals are what makes the high street great! Yes, internet shopping is easy and convenient – but look at the kind of amazing deals you’ll miss out on if you don’t go down the high street…
1.",2 (Disrespect),0 (Neutral),0 (Neutral),0 (Neutral),0
"21st Century Wire says Is Donald Trump the answer? Is anyone the answer?Here s an interesting conversation in New York City, with author David Icke and Luke Rudkowski from We Are Change, talking about the adoption of Donald Trump and Islamophobia by popular, well-financed  alternative media  outlets, and the challenges of remaining truly independent. Watch: ",0 (Neutral),0 (Neutral),2 (Disrespect),0 (Neutral),1
"Congressman Sean Duffy and Tucker Carlson are both rising stars in the conservative movement. They discuss the slow walk of vote counting by bitter liberals in Wisconsin:Congressman: Dems Stalling Recount in Wisconsin to Steal Electoral Votes From Trump   https://t.co/leDP4gyh5V pic.twitter.com/rgfJJHjBZL  Paul Joseph Watson (@PrisonPlanet) December 2, 2016 ",1 (Mild),1 (Mild),1 (Mild),1 (Mild),1
"A DC Imam was caught on camera spewing hatred for Jews and saying the Muslims have to  rescue  the  dumb Americans . This Imam is probably saying things just like this every week in his Mosque. It s no wonder we have terror and hate coming from the Muslims who want to kill us .do you think we need Mosque surveillance for hate speech just like this?Washington D.C. Imam Abdul Alim Musa: Zionists Brought Trump, Like Hitler, to Power; We Have to Rescue the Poor Dumb Americans pic.twitter.com/oZHXkjrjkJ  MEMRI (@MEMRIReports) November 23, 2016It s when Imam s get caught saying things like this that you see the real agenda  We went to this Imam s Facebook page and found this post:  Mahmoud Abdul Rauf and Collin Kaepernick continuing the legacy! Notice that Kaepernick is wearing a Malcolm X t-shirt The Imam s Facebook page has several photos of his visits to speak in Iran He has several pictures with the president. He has this photo with the caption  Greatness  above it: So he s pro Iran and pro Cuba What does that tell you???",2 (Disrespect),3 (Hostile),3 (Hostile),1 (Mild),4
"Muslims Terrorize Hindus Because It's Wednesday November 4, 2016 Daniel Greenfield 
The official media narrative is that Muslims are the world's greatest victims. The truth, especially in majority Muslim countries, is rather strikingly different . 
Crowds of Muslims attacked Hindu homes and temples in eastern Bangladesh this week, raising concerns that the authorities are not taking steps to curb rising religious tensions. 
Attacks on Hindus are not unusual in Bangladesh, but it is rare to see multiple crowds targeting temples in an organized way as they did on Sunday and Monday. 
Note the casual language of the Times. Muslim religious violence is commonplace in Bangladesh. It's just not common for it to be happening on this scale. 
But how could it be otherwise? Islam is structurally xenophobic, violently bigoted and racist down to its origins. Islam's faith is expressed in a violent campaign against non-Muslims. This is Jihad. 
Muslims attacking Hindus, Christians, Jews, Yazidis or any other group? That just means it must be Wednesday. Or any other day of the week. 
On Sunday, hundreds of Muslims entered a Hindu neighborhood, where they ransacked 15 temples and the homes of more than 100 families, Mr. Deb said. He said that the mob “used long, hard sticks and locally made sharp weapons” to assault Hindus they found there, and that at least 20 people, including a priest, were wounded. 
This is Islam in its purest and truest form.",4 (Hateful),4 (Hateful),3 (Hostile),1 (Mild),4
"Students at the University of California, Berkeley held a day of protest on Friday to demand the creation of additional  safe spaces  for transgender and nonwhite students, during which a human chain was formed on a main campus artery to prevent white students from getting to class.The demonstrators were caught on video blocking Berkeley s Sather Gate, holding large banners advocating the creation of physical spaces segregated by race and gender identity, including one that read  Fight 4 Spaces of Color. Protesters can be heard shouting  Go around!  to white students who attempt to go through the blockade, while students of color are greeted with calls of  Let him through! Students turned away by the mob are later shown filing through trees and ducking under branches in order to cross Strawberry Creek, which runs underneath the bridge.   Washington TimesI m pretty sure this is illegal but then again, we are living in lawless times. Hey, I ve got a great idea let s elect Hillary so we can just have complete anarchy in our streets and on our college campuses. Who needs rights anyhow? ",3 (Hostile),2 (Disrespect),2 (Disrespect),1 (Mild),2
"WASHINGTON (Reuters) - Former Republican rival-turned-supporter Ben Carson on Wednesday said he could serve a role under Donald Trump after talks with the president-elect’s team. Carson had been offered the job leading the U.S. Department of Housing and Urban Development, a Carson spokesman said on Tuesday. “After serious discussions with the Trump transition team, I feel that I can make a significant contribution particularly to making our inner cities great for everyone,” Carson, a former presidential candidate, wrote on Facebook.  “An announcement is forthcoming about my role in helping to make America great again,” he added. ",1 (Mild),0 (Neutral),0 (Neutral),0 (Neutral),0
"Alisyn Camerota sparred with Rep. Scott Taylor (R-VA) over President Donald Trump s weekend tweet of a video in which he beats Vince McMahon with a CNN graphic superimposed on the WWE commissioner s face.Notice how Camerota just keeps on going even though Taylor shuts her down with so much truth! He s awesome! Camerota is a political hack who has one agenda she only wants to make President Trump look bad. In interview after interview, she blatantly attacks Trump and his administration. Who knows why Trump supporters attempt an interview with Camerota!OUR PREVIOUS REPORT ON CAMEROTA:TRUMP PRESS SECRETARY Calls Out CNN S CAMEROTA For  Unbelievable  Questions :  I know it s frustrating for you that we re doing it in a logical way  [Video]Wow! This interview is hysterical! Sean Spicer runs circles around political hack Camerota It gets good around the 3:30 mark I know it s frustrating for you that we re doing it in a logical way,    Sean Spicer to Allison Camerota https://www.youtube.com/watch?v=_6mzC5kPR3sCamerota just can t break Spicer He s too good at debate. ",2 (Disrespect),1 (Mild),1 (Mild),1 (Mild),2
"BARCELONA (Reuters) - Catalan regional leader Carles Puigdemont accused Spanish authorities of using  unjustified, disproportionate and irresponsible  violence in a crackdown on a Catalan independence referendum on Sunday. The batons, rubber bullets and violence used by Spanish police to prevent voting in what Spanish authorities have said was an illegal referendum had shown a  dreadful external image of Spain , he told reporters.  The unjustified, disproportionate and irresponsible violence of the Spanish state today has not only failed to stop Catalans  desire to vote ... but has helped to clarify all the doubts we had to resolve today,  he said. ",0 (Neutral),0 (Neutral),0 (Neutral),1 (Mild),1
"WASHINGTON (Reuters) - Greek Prime Minister Alexis Tsipras said on Tuesday it was important for Turkey to remain part of the NATO security alliance and continue its orientation toward Europe despite current tensions between the two countries. “We continue to support the Turkish course toward Europe,” Tsipras said at a White House news conference after a meeting with U.S. President Donald Trump. “We respect it as a regional power and we believe that it must stay oriented toward the European perspective.” ",0 (Neutral),0 (Neutral),0 (Neutral),0 (Neutral),0
"In June of 2016 over 10,000 migrants came to Italy via boat:More than 10,000 migrants have crossed the Mediterranean to Italy in just four days as the European Union fails to provide a deterrent by sending back those found not to be genuine refugees. EU leaders will today be presented with figures that show as few as six per cent of those told go back home to Africa last year actually left.Remember that the European Union is all for open borders in Europe Scattered acts of vandalism by immigrants continued throughout the day as some smashed store windows. Police said that in two separate incidents locals had tried to run over immigrants with their cars. Schools and many shops were closed.Hundreds of local residents gathered outside the town hall on Friday evening, many of them asking that the government intervene against the immigrants. They are the ones who should be afraid now, they should go away,  one resident told Sky Italia television.ANGRY LOCALS REFUSE TO ACCEPT THE MIGRANTS:",3 (Hostile),1 (Mild),1 (Mild),1 (Mild),3
"WASHINGTON (Reuters) - U.S. House Speaker Paul Ryan on Thursday said the Trans-Pacific Partnership trade agreement still faces an uphill battle for support in Congress and that he was not inclined to bring it up for a vote, because it would not pass. U.S. President Barack Obama’s Pacific trade deal with partners in Asia would “go down” in any vote held now, Ryan told reporters at a regular press briefing. “If you bring it up, it’s going to go down, I don’t think we should bring up a bill that goes down,” Ryan said. ",0 (Neutral),0 (Neutral),0 (Neutral),0 (Neutral),0
"MOSCOW (Reuters) - Russian Foreign Minister Sergei Lavrov and U.S. Secretary of State Rex Tillerson will meet on the sidelines of the United Nations General Assembly, TASS news agency quoted Russian Deputy Foreign Minister Sergei Ryabkov as saying on Tuesday. ",0 (Neutral),0 (Neutral),0 (Neutral),0 (Neutral),0
"BEIRUT (Reuters) - Lebanon s parliamentary speaker said on Monday it was too early to talk about the country s government having resigned or the formation of a new government after Prime Minister Saad al-Hariri said at the weekend he would stand down. President Michel Aoun said on Sunday he will not decide whether to accept or reject the prime minister s resignation until Hariri returns to Lebanon from Saudi Arabia, from where he made the announcement.   Speaker Nabih Berri said in a televised statement he agreed with Aoun s statement. ",0 (Neutral),0 (Neutral),0 (Neutral),0 (Neutral),0
"Judge Jeanine commented this morning on the FBI Director s testimony yesterday and in true Judge Jeanine style she didn t hold back! Why is he so comfortable with leaking? The answers were hogwash! Judge Jeanine is spot on in her assessment of Comey:James Comey comes across as someone who is so wily and so calculating  He gets to the point that he says,  I m going to start leaking this stuff now.  What is is about his time his background as a prosecutor. And, what I would like to know is, is he the leaker?Is he the guy who was so comfortable. And the answer is why did he didn t leak it himself, and the seagulls and the beach, is hogwash  The fact that he is so comfortable, that he leaks this to a liberal professer, tells me he was a predator.He was looking to take Donald down. What he wanted to do is take the president down. He is an operator. He is part of the liberal elite.",3 (Hostile),3 (Hostile),4 (Hateful),1 (Mild),3
"You are a liar & cheater.The DNC dismissed MILLIONS of Bernie supporters. 
— Simply Irredeemable (@hrhjmm) October 27, 2016 
Ouch. Perhaps there is something to this whole witch hunt, eh Donna? @donnabrazile @washingtonpost O Donna, you don't think this is all going to disappear once she wins do you? You've ruined yourself…for HRC 
— PeoplesGov (@GovbyUs) October 27, 2016 
Many people have ruined themselves, falling on their proverbials swords, for Hillary. @donnabrazile @washingtonpost I really think you blew it when u refused to take responsibility for providing Hillary w/ questions in advance 
— Mary Rose Moskowitz (@veritasjc) October 27, 2016 
They just can’t get past the idea that Donna helped Hillary in essence, cheat. And who could blame them? 
Donna was really after Chaffetz today, especially after he said he would be voting for Trump. She retweeted several digs at the representative, including this one: Not to put too fine a point on it, but if you announce publicly that you are going to vote for someone that's an endorsement of that person 
— Dan Pfeiffer (@danpfeiffer) October 27, 2016 
And you know what they say? You always go after the things and the people that scare you the most.",2 (Disrespect),2 (Disrespect),2 (Disrespect),1 (Mild),2
"On Friday night s episode of HBO s Real Time, host Bill Maher responded to guest Sen. Ben Sasse s question,  Would you like to come work in the field with us?  with the N-word. This man is beyond disgusting in his past comments but THIS is the absolute worst. He responded to the audience groans by saying  it was a joke . So this jackwagon jokes at the expense of those in the black community Shame on him! He s in the same boat with Kathy Griffin when he makes a joke at the expense of others.REMEMBER WHEN MAHER MOCKED ANN COULTER FOR SUPPORTING TRUMP?They laughed at us when we said @realDonaldTrump would win This morning they're too devastated to get out of bed.#MAGA #TrumpTrain pic.twitter.com/A0xApdid7K  Harlan Z. Hill (@Harlan) November 9, 2016Let s hope Bill Maher is treated just as any other person in entertainment has been treated if they go down this path. The left has a double standard when it comes to this so we doubt anything will happen to punish Maher for his racist comment on live TV.",3 (Hostile),1 (Mild),1 (Mild),1 (Mild),3
"Donald Trump held a press conference today to clarify every since bit of accusations made that he pocketed over six million dollars meant for veterans. Basically, Trump shut the liberal media down. It was awesome! What was even better was watching a New Hampshire lawmaker rip into the liberal press like I ve never seen! ",1 (Mild),2 (Disrespect),1 (Mild),0 (Neutral),1
"Report Copyright Violation Unthinkable If it ever were discovered that the voting was total bullshit (and I'm not suggesting that) and that they decided in 2008 that Hillary was next, then chaos would ensue. It's just a passing thought but there has been so much fraud discovered so far by Hillary, like the debate questions given in advance and the meetings with reporters which influenced the Electoral College before the election. So you know what I think? I say we send in the military to grab all the voting machines and do the election entirely on paper. Even if it takes two weeks to count the votes. Just saying. Page 1",3 (Hostile),1 (Mild),1 (Mild),0 (Neutral),2
"WASHINGTON (Reuters) - President Donald Trump said on Thursday he was in favor of a strong Europe, as France gears up for an election where European unity is a key issue and Britain negotiates its departure from the European Union. “Yes, a strong Europe is very, very important to me as president of the United States and it’s also ... important for the United States, we want to see it, we will help it be strong, and it’s very much to everybody’s advantage,” Trump said at a joint news conference with Italian Prime Minister Paolo Gentiloni. ",0 (Neutral),0 (Neutral),0 (Neutral),0 (Neutral),0
Here is actor Robert John Davi s brilliant letter that exposes the utter hypocrisy of the left:,2 (Disrespect),2 (Disrespect),1 (Mild),0 (Neutral),1
"CAIR knows what it s doing in Tulsa, OK but as usual pretends it s no big deal. We ve dealt with the CAIR, Michigan leader who s been on Twitter, along with others in the organization, bashing our military. We took screen shots of the Tweets that are included in this article. The organization is trying to taunt our veterans on a day when we should be saluting them. If you live in the Tulsa, Oklahoma area, please go and protest this float.The Islamic hate group CAIR is taunting our veterans and military personnel with this latest stunt. Yesterday, veterans gathered at the Richard L. Jones, Jr. Airport to protest the terror-tied float. The group is asking parade goers to literally turn their backs on the float for the Council on American-Islamic Relations.The U.S. front group for a UAE-designated Islamic terrorist group will have a float in one of the largest Veterans Day parades in the country.The subversive organization known as the Council on American-Islamic Relations, or CAIR, continues to try to burnish its unsavory image and obscure knowledge of its true nature.Adam Soltani, executive director of CAIR Oklahoma, insists that his organization is pure as the driven snow:  Any claim that CAIR is associated with the Muslim Brotherhood, Hamas, or any other terrorist organization is absolutely preposterous. CAIR was founded in 1994 in Washington, D.C., as a national organization to be a civil rights advocate for American Muslims, to stand up for constitutional rights, for religious freedom, for pluralism, and for every right that we value as American citizens. A Memorial Day Tweet From CAIR, Michigan Director And Retweeted by the San Francisco CAIR Director:Soltani s words are far from the truth. The reality is that  CAIR is an unindicted co-conspirator in a Hamas terror funding case   so named by the Justice Department. CAIR operatives have repeatedly refusedtodenounce Hamas and Hizballah as terrorist groups. Several former CAIR officials have been convicted of various crimes related to jihad terror. CAIR s cofounder and longtime Board chairman (Omar Ahmad), as well as its chief spokesman (Ibrahim Hooper), have made Islamic supremacist statements. Its California chapter distributed a poster telling Muslims not to talk to the FBI. CAIR has opposed every anti-terror measure that has ever been proposed or implemented. According to a captured internal document entered into evidence in the largest terrorist funding trial in our nation s history, the Islamic Association of Palestine, which is the parent organization of Hamas-tied CAIR, was a Muslim Brotherhood entity, working toward  eliminating and destroying Western civilization from within, and sabotaging its miserable house   CAIR operatives attack and dismantle America s greatest freedoms through litigation jihad. They smear and destroy the voices of freedom via their well-paid hacks in the media. Over the past decades, they have expended untold amounts of money to buy influence among media and elected officials.Michigan Director of CAIR: A Muslim nation with ties to 9/11 (Qatar) made a major endowment to the Council on American-Islamic Relations. The Saudis have funded them with at least $50 million. Post-9/11, they worked furiously to defeat the Patriot Act, and they continue to undermine counter-terror programs here at home.Read more: Pam Geller",1 (Mild),3 (Hostile),3 (Hostile),1 (Mild),4
"PELOSI CALLED ABORTION A  MANHOOD THING :House Minority Leader Nancy Pelosi had this odd thing to say about defunding Planned Parenthood:  What are they doing in this bill? Overturning the Affordable Care Act, undermining the health, security, and financial stability of America s working families, and defunding Planned Parenthood That s their that s their manhood thing Manhood thing???",1 (Mild),1 (Mild),1 (Mild),0 (Neutral),1
"Joe Joseph dissects more evidence of a rigged 2016 election. More and more reasons to not participate in an utterly broken system!

Watch on YouTube 
Source: Donna Brazile Shared Additional Debate Questions With Clinton Campaign, Identified Her Tipster 
Delivered by The Daily Sheeple 
We encourage you to share and republish our reports, analyses, breaking news and videos ( Click for details ). 
Contributed by The Daily Sheeple of www.TheDailySheeple.com . 
This content may be freely reproduced in full or in part in digital form with full attribution to the author and a link to www.TheDailySheeple.com. ",1 (Mild),2 (Disrespect),2 (Disrespect),0 (Neutral),1
"  The Myth Of Male Privilege The Myth Of Male Privilege November 25, 2012 20 Comments Culture 
What happens when a woman doesn’t want a baby? She aborts it. She can go to the doctor for a minor procedure that inconveniences her for a day. The man who impregnated her has no legal right to prevent her from doing so. 
What happens when a man doesn’t want a baby? Assuming the woman wants to keep it, he is ordered by a court to provide payments. If he chooses not to, money will be automatically garnished from his salary. If garnishment is not an option, he is sent to prison . 
A woman can kill life and she is empowered while receiving no interference from the state. A man can choose to merely ignore life and he can be imprisoned, his life ruined. And we live in a society of male privilege? Nov 25, 2012 Roosh Valizadeh",1 (Mild),2 (Disrespect),0 (Neutral),0 (Neutral),2
"New York Giants player Odell Beckham Jr. scored a pair of touchdowns in the team s 27-24 loss to the Eagles and celebrated the scores in very different ways Very disgusting ways.Odell Beckham is the perfect heel pic.twitter.com/6oLFAsnj2U  Dan Gartland (@Dan_Gartland) September 24, 2017Sports Illustrated reported: After an impressive toe-tap catch in the back of the end zone, Beckham Jr. drew a flag for pretending like he was peeing on the Lincoln Financial Field surface.Odell Beckham raises his fist after scoring for a second time today pic.twitter.com/dy2G3mgEul  Sports Illustrated (@SInow) September 24, 2017GIVES BLACK POWER SALUTE BUT WON T STAND FOR ANTHEM  Beckham Jr. made a one-handed catch in the corner of the end zone. He then stood near the goal line, faced the stands and raised his right fist.WATCH: @OBJ_3 s second TD ties the game at 14! #NYGvsPHI pic.twitter.com/QPxIYLMBly  New York Giants (@Giants) September 24, 2017Disgusting display of childish behavior  Asked the significance of the celebration, Beckham said:  Did it look like it? Then it might have meant something. In case you missed this from yesterday. Bills player LeSean McCoy stretched during the national anthem: No class!Buffalo Bills Running Back @CutonDime25 Takes Disrespect To A New Low, Stretches During The Anthem #DumpNFL pic.twitter.com/NnsBAHo8qc  Cernovich Media (@CernovichNews) September 24, 2017 ",1 (Mild),2 (Disrespect),1 (Mild),1 (Mild),2
"Republican nominee Donald Trump recently surprised everyone when he flip-flopped on the harsh immigration policy he d been promising his racist, hateful supporters since the beginning of his campaign. It turns out, not everyone is taking this news very well   especially the Trump lovers who wanted nothing more than to see millions of illegal immigrants heartlessly removed from the country they built their lives in.On Wednesday s segment of The Glenn Beck Program, a furious Trump supporter shared his reaction to Trump s recent softening on immigration   and it wasn t good. In speaking to host Glenn Beck,  Nate from Virginia  actually delivered a threat to Trump. The guest warned: As long as he does the basic things, the foundational things, which is build a wall, he s not going to have people like me coming after him. Beck wasn t alarmed at first, but was visibly stunned as angry Nate continued his rant. Seemingly speaking for all Trump supporters, Nate said: Oh, he s in so much trouble. You don t even understand the backlash of us, the ones who are so frustrated and angry and tired of all the political stuff. We re going to come after him, personally, you know what I mean? We re going to get him. Beck clarified,  I don t know what you mean. Hang on, what does that mean? Nate s response was far from comforting: You know, the most peaceful way you can get rid of a president When Beck hopefully suggested that Nate might have meant he wants to impeach Trump, Nate corrected him and said he definitely meant violence: Well, I mean, hey, you yourself said he s condoned violence in the past, hasn t he? He s appealing to people who are very frustrated and angry. Their frustration and anger can only be subsided if he makes his promises true. And he has a lot on his shoulders, maybe he himself doesn t even know how much. But if he doesn t come through for us, he s going to have bigger problems, bigger problems than what you know. Beck was so disturbed by  one of the spookiest phone calls I ve ever received  that he hung up on Nate.You can watch the call unfold below:A few weeks ago, Donald Trump had suggested that Democratic nominee Hillary Clinton should be assassinated by the  Second Amendment people.  He might just be getting a taste of his own medicine now   by the very hate movement he created.Featured image via Jonathan Bachman / Getty Images",1 (Mild),4 (Hateful),4 (Hateful),1 (Mild),4
"It s no secret that our military has suffered during the Obama years: The U.S. military has been hindered by an overbearing and inexperienced White House under President Barack Obama, according to each of his three former defense secretaries, causing the Pentagon to struggle to carry out operations and make decisions. ",1 (Mild),2 (Disrespect),2 (Disrespect),1 (Mild),1
THE SOCIALIST PRESIDENT WAS THIS GUY S TEACHER! Great encounter with someone who has experienced socialism   great stuff!,1 (Mild),0 (Neutral),0 (Neutral),0 (Neutral),1
"21st Century Wire says Facebook knows best?Facebook has begun its rollout of the  Disputed Story  tag, which allows only ABC News, FactCheck.org, the Associated Press, Snopes and Politifact to determine if a story is  fake news .In the following video Stuart J. Hooper delves into the depths of the arrogance that Facebook is now exhibiting with this move, and how the failing mainstream media is only really interested in stopping their main competition   the exploding alternative media scene.Watch the video here: READ MORE ON  FAKE NEWS  AT: 21st Century Wire Fake News FilesSUPPORT 21WIRE  SUBSCRIBE & BECOME A MEMBER @21WIRE.TV",0 (Neutral),1 (Mild),1 (Mild),1 (Mild),1
